replicate,period,site,epi.type,epi.load
J-DC-BL-1,june,Dodger,Blades,0.568382353
J-DC-BL-2,june,Dodger,Blades,0.371085409
J-DC-BL-3,june,Dodger,Blades,0.261724138
J-DC-BL-4,june,Dodger,Blades,0.568382353
J-DC-BL-5,june,Dodger,Blades,0.852431907
J-DC-BL-6,june,Dodger,Blades,0.179657269
J-DC-BL-7,june,Dodger,Blades,0.711445783
J-DC-BL-8,june,Dodger,Blades,0.608977408
J-DC-BL-9,june,Dodger,Blades,0.480772231
J-DC-BL-10,june,Dodger,Blades,0.18656183
J-DC-BL-11,june,Dodger,Blades,0.538541667
J-DC-BL-12,june,Dodger,Blades,0.327037934
J-DC-BL-13,june,Dodger,Blades,0.223513085
J-DC-BL-14,june,Dodger,Blades,0.41407355
J-DC-BL-15,june,Dodger,Blades,0
J-DC-DI-1,june,Dodger,Diatoms,0.874264706
J-DC-DI-2,june,Dodger,Diatoms,0.763345196
J-DC-DI-3,june,Dodger,Diatoms,1.002586207
J-DC-DI-4,june,Dodger,Diatoms,0.373344825
J-DC-DI-5,june,Dodger,Diatoms,0.874264706
J-DC-DI-6,june,Dodger,Diatoms,0.371085409
J-DC-DI-7,june,Dodger,Diatoms,0.387009397
J-DC-DI-8,june,Dodger,Diatoms,0.601506024
J-DC-DI-9,june,Dodger,Diatoms,0.660820452
J-DC-DI-10,june,Dodger,Diatoms,0.361856474
J-DC-DI-11,june,Dodger,Diatoms,0.254967834
J-DC-DI-12,june,Dodger,Diatoms,0.79296875
J-DC-DI-13,june,Dodger,Diatoms,0.297417272
J-DC-DI-14,june,Dodger,Diatoms,0.285091197
J-DC-DI-15,june,Dodger,Diatoms,0.542574257
J-NB-DI-1,june,Numukamis,Diatoms,0.890223793
J-NB-DI-2,june,Numukamis,Diatoms,1.511651469
J-NB-DI-3,june,Numukamis,Diatoms,0.612672624
J-NB-DI-4,june,Numukamis,Diatoms,0.943248014
J-NB-DI-5,june,Numukamis,Diatoms,0.682885906
J-NB-DI-6,june,Numukamis,Diatoms,0.727678571
J-NB-DI-7,june,Numukamis,Diatoms,0.632665094
J-NB-DI-8,june,Numukamis,Diatoms,1.012256494
J-NB-DI-9,june,Numukamis,Diatoms,0.804175153
J-NB-DI-10,june,Numukamis,Diatoms,0.621975993
J-NB-DI-11,june,Numukamis,Diatoms,0.883678756
J-NB-DI-12,june,Numukamis,Diatoms,1.606177606
J-NB-DI-13,june,Numukamis,Diatoms,0.984500574
J-NB-DI-14,june,Numukamis,Diatoms,0.496173848
J-NB-DI-15,june,Numukamis,Diatoms,0.57809648
J-NB-BL-1,june,Numukamis,Blades,0
J-NB-BL-2,june,Numukamis,Blades,0
J-NB-BL-3,june,Numukamis,Blades,0
J-NB-BL-4,june,Numukamis,Blades,0
J-NB-BL-5,june,Numukamis,Blades,0
J-NB-BL-6,june,Numukamis,Blades,0
