replicate,trial_type,grazer,epiphyte,dmass,time_hrs,dmass_per24,dmass_minctrl,grazer_mass
IS-BL-1,EXPT,isopod,blades,0.051,11,0.111272727,0.109622727,0.051
IS-BL-2,EXPT,isopod,blades,0.034,24,0.034,0.03235,0.025
IS-BL-3,EXPT,isopod,blades,0.01,24,0.01,0.00835,0.023
IS-BL-4,EXPT,isopod,blades,0.021,24,0.021,0.01935,0.026
IS-BL-5,EXPT,isopod,blades,0.031,11,0.067636364,0.065986364,0.111
IS-BL-6,EXPT,isopod,blades,0.04,24,0.04,0.03835,0.05
IS-BL-7,EXPT,isopod,blades,0.023,24,0.023,0.02135,0.025
IS-BL-8,EXPT,isopod,blades,0.009,24,0.009,0.00735,0.021
IS-BL-9,EXPT,isopod,blades,0.047,24,0.047,0.04535,0.136
IS-BL-10,EXPT,isopod,blades,0.038,11,0.082909091,0.081259091,0.08
IS-BL-11,EXPT,isopod,blades,0.022,24,0.022,0.02035,0.064
IS-BL-12,EXPT,isopod,blades,0.015,24,0.015,0.01335,0.034
IS-BL-13,EXPT,isopod,blades,0.011,24,0.011,0.00935,0.094
IS-BL-14,EXPT,isopod,blades,0.024,24,0.024,0.02235,0.077
IS-BL-15,EXPT,isopod,blades,0.004,24,0.004,0.00235,0.023
IS-BL-16,EXPT,isopod,blades,0.009,24,0.009,0.00735,0.016
IS-BL-17,EXPT,isopod,blades,0.026,11,0.056727273,0.055077273,0.06
IS-BL-18,EXPT,isopod,blades,0.031,48,0.0155,0.01385,0.074
IS-BL-19,EXPT,isopod,blades,0.043,48,0.0215,0.01985,0.042
IS-BL-20,EXPT,isopod,blades,0.011,48,0.0055,0.00385,0.033
IS-BL-21,EXPT,isopod,blades,0.03,48,0.015,0.01335,0.018
IS-BL-22,EXPT,isopod,blades,0.005,48,0.0025,0.00085,0.026
IS-BL-23,EXPT,isopod,blades,0.021,48,0.0105,0.00885,0.101
IS-BL-24,EXPT,isopod,blades,0.198,48,0.099,0.09735,0.144
IS-BL-25,EXPT,isopod,blades,0.111,48,0.0555,0.05385,0.336
IS-BL-26,EXPT,isopod,blades,0.025,48,0.0125,0.01085,0.058
CTRL-IS-BL-1,CTRL,ctrl_isopod,blades,-0.001,24,-0.001,-0.00265,na
CTRL-IS-BL-2,CTRL,ctrl_isopod,blades,0,24,0,-0.00165,na
CTRL-IS-BL-3,CTRL,ctrl_isopod,blades,0,24,0,-0.00165,na
CTRL-IS-BL-4,CTRL,ctrl_isopod,blades,0.001,24,0.001,-0.00065,na
CTRL-IS-BL-5,CTRL,ctrl_isopod,blades,0.002,24,0.002,0.00035,na
CTRL-IS-BL-6,CTRL,ctrl_isopod,blades,-0.001,24,-0.001,-0.00265,na
CTRL-IS-BL-7,CTRL,ctrl_isopod,blades,0.002,24,0.002,0.00035,na
CTRL-IS-BL-8,CTRL,ctrl_isopod,blades,0.003,24,0.003,0.00135,na
CTRL-IS-BL-9,CTRL,ctrl_isopod,blades,0,24,0,-0.00165,na
CTRL-IS-BL-10,CTRL,ctrl_isopod,blades,0.001,24,0.001,-0.00065,na
CTRL-IS-BL-11,CTRL,ctrl_isopod,blades,0.008,24,0.008,0.00635,na
CTRL-IS-BL-12,CTRL,ctrl_isopod,blades,0.002,24,0.002,0.00035,na
CTRL-IS-BL-13,CTRL,ctrl_isopod,blades,0,24,0,-0.00165,na
CTRL-IS-BL-14,CTRL,ctrl_isopod,blades,-0.001,24,-0.001,-0.00265,na
CTRL-IS-BL-15,CTRL,ctrl_isopod,blades,0,24,0,-0.00165,na
CTRL-IS-BL-16,CTRL,ctrl_isopod,blades,0.014,24,0.014,0.01235,na
CTRL-IS-BL-17,CTRL,ctrl_isopod,blades,0.001,24,0.001,-0.00065,na
CTRL-IS-BL-18,CTRL,ctrl_isopod,blades,0,24,0,-0.00165,na
CTRL-IS-BL-19,CTRL,ctrl_isopod,blades,0.002,24,0.002,0.00035,na
CTRL-IS-BL-20,CTRL,ctrl_isopod,blades,0,24,0,-0.00165,na
AM-BL-1,EXPT,amphipod,blades,0.038,24,0.038,0.036726,0.033
AM-BL-2,EXPT,amphipod,blades,0.012,24,0.012,0.010726,0.077
AM-BL-3,EXPT,amphipod,blades,0.02,24,0.02,0.018726,0.011
AM-BL-4,EXPT,amphipod,blades,0.023,24,0.023,0.021726,0.013
AM-BL-5,EXPT,amphipod,blades,0.024,21,0.027428571,0.025516698,0.041
AM-BL-6,EXPT,amphipod,blades,0.006,24,0.006,0.004726,0.037
AM-BL-7,EXPT,amphipod,blades,0.025,24,0.025,0.023726,0.076
AM-BL-8,EXPT,amphipod,blades,0.037,24,0.037,0.035726,0.025
AM-BL-9,EXPT,amphipod,blades,0.036,21,0.041142857,0.039868857,0.062
AM-BL-10,EXPT,amphipod,blades,0.034,21,0.038857143,0.037583143,0.087
AM-BL-11,EXPT,amphipod,blades,0.032,21,0.036571429,0.035297429,0.02
AM-BL-12,EXPT,amphipod,blades,0.025,21,0.028571429,0.027297429,0.029
AM-BL-13,EXPT,amphipod,blades,0.031,21,0.035428571,0.034154571,0.036
AM-BL-14,EXPT,amphipod,blades,0.037,21,0.042285714,0.041011714,0.047
AM-BL-15,EXPT,amphipod,blades,0.012,21,0.013714286,0.012440286,0.032
AM-BL-16,EXPT,amphipod,blades,0.041,21,0.046857143,0.045583143,0.069
AM-BL-17,EXPT,amphipod,blades,0.037,21,0.042285714,0.041011714,0.045
AM-BL-18,EXPT,amphipod,blades,0.03,21,0.034285714,0.033011714,0.034
