replicate,trial_type,grazer,epiphyte,dmass,time_hrs,dmass_per24,dmass_minctrl,grazer_mass,dmass_stnd
IS-BL-2,EXPT,isopod,blades,0.034,24,0.034,0.03235,0.025,1.294
IS-BL-3,EXPT,isopod,blades,0.01,24,0.01,0.00835,0.023,0.363043478
IS-BL-4,EXPT,isopod,blades,0.021,24,0.021,0.01935,0.026,0.744230769
IS-BL-6,EXPT,isopod,blades,0.04,24,0.04,0.03835,0.05,0.767
IS-BL-7,EXPT,isopod,blades,0.023,24,0.023,0.02135,0.025,0.854
IS-BL-8,EXPT,isopod,blades,0.009,24,0.009,0.00735,0.021,0.35
IS-BL-9,EXPT,isopod,blades,0.047,24,0.047,0.04535,0.136,0.333455882
IS-BL-11,EXPT,isopod,blades,0.022,24,0.022,0.02035,0.064,0.31796875
IS-BL-12,EXPT,isopod,blades,0.015,24,0.015,0.01335,0.034,0.392647059
IS-BL-13,EXPT,isopod,blades,0.011,24,0.011,0.00935,0.094,0.099468085
IS-BL-14,EXPT,isopod,blades,0.024,24,0.024,0.02235,0.077,0.29025974
IS-BL-15,EXPT,isopod,blades,0.004,24,0.004,0.00235,0.023,0.102173913
IS-BL-16,EXPT,isopod,blades,0.009,24,0.009,0.00735,0.016,0.459375
CTRL-IS-BL-1,CTRL,ctrl_isopod,blades,-0.001,24,-0.001,-0.00265,na,na
CTRL-IS-BL-2,CTRL,ctrl_isopod,blades,0,24,0,-0.00165,na,na
CTRL-IS-BL-3,CTRL,ctrl_isopod,blades,0,24,0,-0.00165,na,na
CTRL-IS-BL-4,CTRL,ctrl_isopod,blades,0.001,24,0.001,-0.00065,na,na
CTRL-IS-BL-5,CTRL,ctrl_isopod,blades,0.002,24,0.002,0.00035,na,na
CTRL-IS-BL-6,CTRL,ctrl_isopod,blades,-0.001,24,-0.001,-0.00265,na,na
CTRL-IS-BL-7,CTRL,ctrl_isopod,blades,0.002,24,0.002,0.00035,na,na
CTRL-IS-BL-8,CTRL,ctrl_isopod,blades,0.003,24,0.003,0.00135,na,na
CTRL-IS-BL-9,CTRL,ctrl_isopod,blades,0,24,0,-0.00165,na,na
CTRL-IS-BL-10,CTRL,ctrl_isopod,blades,0.001,24,0.001,-0.00065,na,na
CTRL-IS-BL-11,CTRL,ctrl_isopod,blades,0.008,24,0.008,0.00635,na,na
CTRL-IS-BL-12,CTRL,ctrl_isopod,blades,0.002,24,0.002,0.00035,na,na
CTRL-IS-BL-13,CTRL,ctrl_isopod,blades,0,24,0,-0.00165,na,na
CTRL-IS-BL-14,CTRL,ctrl_isopod,blades,-0.001,24,-0.001,-0.00265,na,na
CTRL-IS-BL-15,CTRL,ctrl_isopod,blades,0,24,0,-0.00165,na,na
CTRL-IS-BL-16,CTRL,ctrl_isopod,blades,0.014,24,0.014,0.01235,na,na
CTRL-IS-BL-17,CTRL,ctrl_isopod,blades,0.001,24,0.001,-0.00065,na,na
CTRL-IS-BL-18,CTRL,ctrl_isopod,blades,0,24,0,-0.00165,na,na
CTRL-IS-BL-19,CTRL,ctrl_isopod,blades,0.002,24,0.002,0.00035,na,na
CTRL-IS-BL-20,CTRL,ctrl_isopod,blades,0,24,0,-0.00165,na,na
AM-BL-1,EXPT,amphipod,blades,0.038,24,0.038,0.036726,0.033,1.112909091
AM-BL-2,EXPT,amphipod,blades,0.012,24,0.012,0.010726,0.077,0.139298701
AM-BL-3,EXPT,amphipod,blades,0.02,24,0.02,0.018726,0.011,1.702363636
AM-BL-4,EXPT,amphipod,blades,0.023,24,0.023,0.021726,0.013,1.671230769
AM-BL-6,EXPT,amphipod,blades,0.006,24,0.006,0.004726,0.037,0.12772973
AM-BL-7,EXPT,amphipod,blades,0.025,24,0.025,0.023726,0.076,0.312184211
AM-BL-8,EXPT,amphipod,blades,0.037,24,0.037,0.035726,0.025,1.42904
CTRL-AM-BL-6,CTRL,ctrl_amphipod,blades,-0.001,24,-0.001,-0.002274,na,na
CTRL-AM-BL-7,CTRL,ctrl_amphipod,blades,0,24,0,-0.001274,na,na
CTRL-AM-BL-8,CTRL,ctrl_amphipod,blades,0,24,0,-0.001274,na,na
CTRL-AM-BL-9,CTRL,ctrl_amphipod,blades,0.001,24,0.001,-0.000274,na,na
CTRL-AM-BL-10,CTRL,ctrl_amphipod,blades,0.002,24,0.002,0.000726,na,na
CTRL-AM-BL-11,CTRL,ctrl_amphipod,blades,-0.001,24,-0.001,-0.002274,na,na
CTRL-AM-BL-12,CTRL,ctrl_amphipod,blades,0.002,24,0.002,0.000726,na,na
CTRL-AM-BL-13,CTRL,ctrl_amphipod,blades,0.003,24,0.003,0.001726,na,na
CTRL-AM-BL-14,CTRL,ctrl_amphipod,blades,0,24,0,-0.001274,na,na
CTRL-AM-BL-15,CTRL,ctrl_amphipod,blades,0.001,24,0.001,-0.000274,na,na
CTRL-AM-BL-16,CTRL,ctrl_amphipod,blades,0.008,24,0.008,0.006726,na,na
CTRL-AM-BL-17,CTRL,ctrl_amphipod,blades,0.002,24,0.002,0.000726,na,na
CTRL-AM-BL-18,CTRL,ctrl_amphipod,blades,0,24,0,-0.001274,na,na
CTRL-AM-BL-19,CTRL,ctrl_amphipod,blades,-0.001,24,-0.001,-0.002274,na,na
CTRL-AM-BL-20,CTRL,ctrl_amphipod,blades,0,24,0,-0.001274,na,na
CTRL-AM-BL-21,CTRL,ctrl_amphipod,blades,0.014,24,0.014,0.012726,na,na
CTRL-AM-BL-22,CTRL,ctrl_amphipod,blades,0.001,24,0.001,-0.000274,na,na
CTRL-AM-BL-23,CTRL,ctrl_amphipod,blades,0,24,0,-0.001274,na,na
CTRL-AM-BL-24,CTRL,ctrl_amphipod,blades,0.002,24,0.002,0.000726,na,na
CTRL-AM-BL-25,CTRL,ctrl_amphipod,blades,0,24,0,-0.001274,na,na
SH-BL-1,EXPT,seahare,blades,0.002,36,0.001333333,0.001333333,0.007,0.190476143
SH-BL-2,EXPT,seahare,blades,0.002,36,0.001333333,0.001333333,0.012,0.111111083
SH-BL-3,EXPT,seahare,blades,0.002,36,0.001333333,0.001333333,na,na
SH-BL-4,EXPT,seahare,blades,-0.001,36,-0.000666667,-0.000666667,0.019,-0.035087737
SH-BL-5,EXPT,seahare,blades,-0.001,36,-0.000666667,-0.000666667,0.012,-0.055555583
SH-BL-6,EXPT,seahare,blades,0.001,36,0.000666667,0.000666667,0.013,0.051282077
SH-BL-7,EXPT,seahare,blades,0.002,36,0.001333333,0.001333333,0.018,0.074074056
SH-BL-8,EXPT,seahare,blades,0.001,36,0.000666667,0.000666667,0.014,0.047619071
SH-BL-9,EXPT,seahare,blades,0.003,36,0.002,0.002,0.035,0.057142857
SH-BL-10,EXPT,seahare,blades,0.002,36,0.001333333,0.001333333,0.022,0.060606045
SH-BL-11,EXPT,seahare,blades,0.003,36,0.002,0.002,0.012,0.166666667
SH-BL-12,EXPT,seahare,blades,0.001,36,0.000666667,0.000666667,0.01,0.0666667
SH-BL-13,EXPT,seahare,blades,0.002,36,0.001333333,0.001333333,0.009,0.148148111
SH-BL-14,EXPT,seahare,blades,0.002,36,0.001333333,0.001333333,0.011,0.121212091
SH-BL-15,EXPT,seahare,blades,0.001,36,0.000666667,0.000666667,0.015,0.044444467
SH-BL-16,EXPT,seahare,blades,0.004,36,0.002666667,0.002666667,0.017,0.156862765
SH-BL-17,EXPT,seahare,blades,0.001,36,0.000666667,0.000666667,0.014,0.047619071
SH-BL-18,EXPT,seahare,blades,0.002,36,0.001333333,0.001333333,0.015,0.088888867
CTRL-SH-BL-1,CTRL,ctrl_seahare,blades,0,36,0,0,na,na
CTRL-SH-BL-2,CTRL,ctrl_seahare,blades,-0.001,36,-0.000666667,-0.000666667,na,na
CTRL-SH-BL-3,CTRL,ctrl_seahare,blades,0.001,36,0.000666667,0.000666667,na,na
CTRL-SH-BL-4,CTRL,ctrl_seahare,blades,-0.002,36,-0.001333333,-0.001333333,na,na
