replicate,trial_type,grazer,epiphyte,dmass,time_hrs,dmass_minctrl,grazer_mass,dmass_stnd
IS-BL-1,EXPT,isopod,blades,0.034,24,0.03235,0.025,1.294
IS-BL-2,EXPT,isopod,blades,0.01,24,0.00835,0.023,0.363043478
IS-BL-3,EXPT,isopod,blades,0.021,24,0.01935,0.026,0.744230769
IS-BL-4,EXPT,isopod,blades,0.04,24,0.03835,0.05,0.767
IS-BL-5,EXPT,isopod,blades,0.023,24,0.02135,0.025,0.854
IS-BL-6,EXPT,isopod,blades,0.009,24,0.00735,0.021,0.35
IS-BL-7,EXPT,isopod,blades,0.047,24,0.04535,0.136,0.333455882
IS-BL-8,EXPT,isopod,blades,0.022,24,0.02035,0.064,0.31796875
IS-BL-9,EXPT,isopod,blades,0.015,24,0.01335,0.034,0.392647059
IS-BL-10,EXPT,isopod,blades,0.011,24,0.00935,0.094,0.099468085
IS-BL-11,EXPT,isopod,blades,0.024,24,0.02235,0.077,0.29025974
IS-BL-12,EXPT,isopod,blades,0.004,24,0.00235,0.023,0.102173913
IS-BL-13,EXPT,isopod,blades,0.009,24,0.00735,0.016,0.459375
CTRL-IS-BL-1,CTRL,ctrl_isopod,blades,-0.001,24,-0.00265,na,na
CTRL-IS-BL-2,CTRL,ctrl_isopod,blades,0,24,-0.00165,na,na
CTRL-IS-BL-3,CTRL,ctrl_isopod,blades,0,24,-0.00165,na,na
CTRL-IS-BL-4,CTRL,ctrl_isopod,blades,0.001,24,-0.00065,na,na
CTRL-IS-BL-5,CTRL,ctrl_isopod,blades,0.002,24,0.00035,na,na
CTRL-IS-BL-6,CTRL,ctrl_isopod,blades,-0.001,24,-0.00265,na,na
CTRL-IS-BL-7,CTRL,ctrl_isopod,blades,0.002,24,0.00035,na,na
CTRL-IS-BL-8,CTRL,ctrl_isopod,blades,0.003,24,0.00135,na,na
CTRL-IS-BL-9,CTRL,ctrl_isopod,blades,0,24,-0.00165,na,na
CTRL-IS-BL-10,CTRL,ctrl_isopod,blades,0.001,24,-0.00065,na,na
CTRL-IS-BL-11,CTRL,ctrl_isopod,blades,0.008,24,0.00635,na,na
CTRL-IS-BL-12,CTRL,ctrl_isopod,blades,0.002,24,0.00035,na,na
CTRL-IS-BL-13,CTRL,ctrl_isopod,blades,0,24,-0.00165,na,na
